date,player,team,market,line,over_price,under_price,book,p_over,ev,proj_lambda,ev_over
2025-10-16,Darnell Nurse,EDM,GOALS,1.5,8000.0,,betrivers,0.0616,3.9857,0.4,3.9857
2025-10-16,Jani Nyman,SEA,GOALS,1.5,4500.0,,betrivers,0.0902,3.1494,0.5,3.1494
2025-10-16,Gavin Brindley,COL,GOALS,1.5,4500.0,,betrivers,0.0902,3.1494,0.5,3.1494
2025-10-16,Calle Jarnkrok,TOR,GOALS,1.5,6000.0,,betrivers,0.0616,2.7547,0.4,2.7547
2025-10-16,Alexandre Carrier,MTL,GOALS,1.5,10000.0,,betrivers,0.0369,2.7306,0.3,2.7306
2025-10-16,Sam Reinhart,FLA,GOALS,2.5,5500.0,,betrivers,0.0629,2.52,0.9,2.52
2025-10-16,Travis Sanheim,PHI,GOALS,1.5,5500.0,,betrivers,0.0616,2.4469,0.4,2.4469
2025-10-16,Shane Pinto,OTT,GOALS,2.5,7000.0,,betrivers,0.0474,2.367,0.8,2.367
2025-10-16,Brad Marchand,FLA,GOALS,1.5,1900.0,,betrivers,0.1558,2.1161,0.7,2.1161
2025-10-16,Brad Marchand,FLA,GOALS,2.5,9000.0,,betrivers,0.0341,2.1069,0.7,2.1069
2025-10-16,Evan Rodrigues,FLA,GOALS,1.5,3300.0,,betrivers,0.0902,2.0669,0.5,2.0669
2025-10-16,Shane Pinto,OTT,GOALS,1.5,1500.0,,betrivers,0.1912,2.0593,0.8,2.0593
2025-10-16,Tyson Foerster,PHI,GOALS,1.5,1800.0,,betrivers,0.1558,1.9603,0.7,1.9603
2025-10-16,Sam Reinhart,FLA,GOALS,1.5,1150.0,,betrivers,0.2275,1.844,0.9,1.844
2025-10-16,Erik Haula,NSH,GOALS,1.5,4500.0,,betrivers,0.0616,1.8314,0.4,1.8314
2025-10-16,Tyson Foerster,PHI,GOALS,2.5,8000.0,,betrivers,0.0341,1.7655,0.7,1.7655
2025-10-16,Dante Fabbro,CBJ,GOALS,1.5,7000.0,,betrivers,0.0369,1.6225,0.3,1.6225
2025-10-16,Gavin Brindley,COL,GOALS,2.5,18000.0,,betrivers,0.0144,1.6042,0.5,1.6042
2025-10-16,Jani Nyman,SEA,GOALS,2.5,18000.0,,betrivers,0.0144,1.6042,0.5,1.6042
2025-10-16,Adam Fox,NYR,GOALS,1.5,4000.0,,betrivers,0.0616,1.5236,0.4,1.5236
2025-10-16,Jared McCann,SEA,GOALS,1.5,1300.0,,betrivers,0.1558,1.1813,0.7,1.1813
2025-10-16,Emil Heineman,NYI,GOALS,1.5,3300.0,,betrivers,0.0616,1.0928,0.4,1.0928
2025-10-16,Jared McCann,SEA,GOALS,2.5,6000.0,,betrivers,0.0341,1.0826,0.7,1.0826
2025-10-16,Dmitri Voronkov,CBJ,GOALS,1.5,2200.0,,betrivers,0.0902,1.0747,0.5,1.0747
2025-10-16,Dawson Mercer,NJD,GOALS,1.5,1600.0,,betrivers,0.1219,1.0723,0.6,1.0723
2025-10-16,Morgan Barron,WPG,GOALS,1.5,5500.0,,betrivers,0.0369,1.0684,0.3,1.0684
2025-10-16,Mathieu Olivier,CBJ,GOALS,1.5,5500.0,,betrivers,0.0369,1.0684,0.3,1.0684
2025-10-16,Tyson Foerster,PHI,GOALS,0.5,310.0,-470.0,fanduel,0.5034,1.064,0.7,1.064
2025-10-16,Evan Rodrigues,FLA,GOALS,2.5,14000.0,,betrivers,0.0144,1.0287,0.5,1.0287
2025-10-16,Darnell Nurse,EDM,GOALS,2.5,25000.0,,betrivers,0.0079,0.9895,0.4,0.9895
2025-10-16,Brian Halonen,NJD,GOALS,1.5,5000.0,,betrivers,0.0369,0.8838,0.3,0.8838
2025-10-16,Shane Pinto,OTT,GOALS,0.5,240.0,-350.0,fanduel,0.5507,0.8723,0.8,0.8723
2025-10-16,Brad Marchand,FLA,GOALS,0.5,270.0,-400.0,fanduel,0.5034,0.8626,0.7,0.8626
2025-10-16,Ryan O'Reilly,NSH,GOALS,1.5,1900.0,,betrivers,0.0902,0.8041,0.5,0.8041
2025-10-16,Zach Werenski,CBJ,GOALS,1.5,2800.0,,betrivers,0.0616,0.785,0.4,0.785
2025-10-16,Dawson Mercer,NJD,GOALS,2.5,7500.0,,betrivers,0.0231,0.7568,0.6,0.7568
2025-10-16,Sam Reinhart,FLA,GOALS,0.5,190.0,-260.0,fanduel,0.5934,0.7209,0.9,0.7209
2025-10-16,Oliver Kapanen,MTL,GOALS,1.5,4500.0,,betrivers,0.0369,0.6991,0.3,0.6991
2025-10-16,Juuso Parssinen,NYR,GOALS,1.5,4500.0,,betrivers,0.0369,0.6991,0.3,0.6991
2025-10-16,Kasperi Kapanen,EDM,GOALS,1.5,4500.0,,betrivers,0.0369,0.6991,0.3,0.6991
2025-10-16,Jared McCann,SEA,GOALS,0.5,230.0,-330.0,fanduel,0.5034,0.6613,0.7,0.6613
2025-10-16,Dmitri Voronkov,CBJ,GOALS,0.5,320.0,-490.0,fanduel,0.3935,0.6526,0.5,0.6526
2025-10-16,Artturi Lehkonen,COL,SOG,2.5,130.0,-185.0,betmgm,0.7146,0.6435,3.7,0.6435
2025-10-16,Bobby McMann,TOR,GOALS,1.5,2500.0,,betrivers,0.0616,0.6004,0.4,0.6004
2025-10-16,Josh Manson,COL,GOALS,1.5,9000.0,,betrivers,0.0175,0.5946,0.2,0.5946
2025-10-16,Calle Jarnkrok,TOR,GOALS,2.5,20000.0,,betrivers,0.0079,0.5932,0.4,0.5932
2025-10-16,Travis Sanheim,PHI,GOALS,2.5,20000.0,,betrivers,0.0079,0.5932,0.4,0.5932
2025-10-16,Dawson Mercer,NJD,GOALS,0.5,250.0,-360.0,fanduel,0.4512,0.5792,0.6,0.5792
2025-10-16,Auston Matthews,TOR,ASSISTS,0.5,100.0,-135.0,betmgm,0.0952,0.5751,0.1,0.5751
2025-10-16,Lane Hutson,MTL,SOG,1.5,139.0,-182.0,betonlineag,0.6454,0.5426,2.2,0.5426
2025-10-16,Paul Cotter,NJD,GOALS,1.5,4000.0,,betrivers,0.0369,0.5144,0.3,0.5144
2025-10-16,Jonny Brodzinski,NYR,GOALS,1.5,4000.0,,betrivers,0.0369,0.5144,0.3,0.5144
2025-10-16,Jesper Bratt,NJD,SOG,2.5,135.0,-185.0,betmgm,0.6406,0.5053,3.3,0.5053
2025-10-16,Jonathan Drouin,NYI,POINTS,0.5,-130.0,102.0,fanduel,0.2592,0.4965,0.3,0.4965
2025-10-16,Brad Marchand,FLA,SOG,2.5,105.0,-135.0,bovada,0.7146,0.4649,3.7,0.4649
2025-10-16,J.T. Miller,NYR,GOALS,0.5,270.0,-400.0,fanduel,0.3935,0.4558,0.5,0.4558
2025-10-16,Ryan O'Reilly,NSH,GOALS,0.5,270.0,-400.0,fanduel,0.3935,0.4558,0.5,0.4558
2025-10-16,Dmitri Voronkov,CBJ,GOALS,2.5,10000.0,,betrivers,0.0144,0.4532,0.5,0.4532
2025-10-16,Auston Matthews,TOR,POINTS,0.5,-250.0,190.0,fanduel,0.5034,0.4401,0.7,0.4401
2025-10-16,Neal Pionk,WPG,SOG,1.5,-120.0,-108.0,fanduel,0.7689,0.4097,2.8,0.4097
2025-10-16,Cole Caufield,MTL,GOALS,1.5,800.0,,betrivers,0.1558,0.4022,0.7,0.4022
2025-10-16,Valeri Nichushkin,COL,ASSISTS,0.5,210.0,-300.0,betmgm,0.4512,0.3987,0.6,0.3987
2025-10-16,Tim Stützle,OTT,POINTS,0.5,-200.0,154.0,fanduel,0.4512,0.394,0.6,0.394
2025-10-16,Jordan Eberle,SEA,ASSISTS,0.5,175.0,-235.0,betmgm,0.5034,0.3844,0.7,0.3844
2025-10-16,Anton Lundell,FLA,ASSISTS,0.5,175.0,-235.0,betmgm,0.5034,0.3844,0.7,0.3844
2025-10-16,Adam Fantilli,CBJ,GOALS,0.5,250.0,-360.0,fanduel,0.3935,0.3771,0.5,0.3771
2025-10-16,Cole Caufield,MTL,GOALS,0.5,170.0,-240.0,fanduel,0.5034,0.3592,0.7,0.3592
2025-10-16,Jonathan Drouin,NYI,SOG,1.5,140.0,-186.0,betrivers,0.5663,0.359,1.9,0.359
2025-10-16,J.T. Miller,NYR,GOALS,1.5,1400.0,,betrivers,0.0902,0.3531,0.5,0.3531
2025-10-16,Adam Fantilli,CBJ,GOALS,1.5,1400.0,,betrivers,0.0902,0.3531,0.5,0.3531
2025-10-16,Jonathan Drouin,NYI,ASSISTS,0.5,115.0,-155.0,betmgm,0.1813,0.3469,0.2,0.3469
2025-10-16,Matvei Michkov,PHI,SOG,2.5,110.0,-155.0,betmgm,0.6406,0.3452,3.3,0.3452
2025-10-16,Roman Josi,NSH,POINTS,0.5,-135.0,100.0,betmgm,0.3297,0.3406,0.4,0.3406
2025-10-16,Dmitri Voronkov,CBJ,SOG,1.5,-135.0,104.0,fanduel,0.7689,0.3385,2.8,0.3385
2025-10-16,Luke Evangelista,NSH,SOG,1.5,-142.0,110.0,draftkings,0.7854,0.3385,2.9,0.3385
2025-10-16,Tyson Foerster,PHI,ASSISTS,0.5,240.0,-325.0,betmgm,0.3935,0.3378,0.5,0.3378
2025-10-16,Artturi Lehkonen,COL,GOALS,0.5,240.0,-350.0,fanduel,0.3935,0.3378,0.5,0.3378
2025-10-16,Bo Horvat,NYI,POINTS,0.5,-154.0,120.0,draftkings,0.3935,0.3344,0.5,0.3344
2025-10-16,Evan Bouchard,EDM,POINTS,0.5,-154.0,120.0,draftkings,0.3935,0.3344,0.5,0.3344
2025-10-16,Alexis Lafrenière,NYR,POINTS,0.5,-105.0,-125.0,betmgm,0.2592,0.3335,0.3,0.3335
2025-10-16,Mattias Ekholm,EDM,SOG,1.5,-122.0,-106.0,betonlineag,0.7326,0.3331,2.6,0.3331
2025-10-16,Sam Reinhart,FLA,SOG,2.5,-104.0,-130.0,williamhill_us,0.6792,0.3322,3.5,0.3322
2025-10-16,Aaron Ekblad,FLA,GOALS,1.5,7500.0,,betrivers,0.0175,0.3318,0.2,0.3318
2025-10-16,Matthew Schaefer,NYI,SOG,1.5,-185.0,130.0,betmgm,0.8641,0.3312,3.5,0.3312
2025-10-16,Nico Hischier,NJD,SOG,2.5,140.0,-185.0,bovada,0.554,0.3297,2.9,0.3297
2025-10-17,Tyler Myers,VAN,GOALS,1.5,10000.0,,betrivers,0.0175,0.7698,0.2,0.7698
2025-10-17,Kiefer Sherwood,VAN,GOALS,1.5,3300.0,,betrivers,0.0369,0.2558,0.3,0.2558
2025-10-17,Jake DeBrusk,VAN,GOALS,1.5,1900.0,,betrivers,0.0616,0.231,0.4,0.231
2025-10-17,Nils Hoglander,VAN,GOALS,1.5,3000.0,,betrivers,0.0369,0.145,0.3,0.145
2025-10-16,Dmitri Voronkov,CBJ,POINTS,0.5,126.0,-162.0,fanduel,0.5934,0.3412,0.9,0.3412
2025-10-16,Dmitri Voronkov,CBJ,ASSISTS,0.5,257.0,-375.0,pinnacle,0.3624,0.2937,0.45,0.2937
2025-10-16,Cole Caufield,MTL,SOG,2.5,-175.0,127.0,pinnacle,0.4303,0.2932,2.4,0.2932
2025-10-16,Brady Skjei,NSH,SOG,1.5,-115.0,-116.0,pinnacle,0.6916,0.2929,2.4,0.2929
2025-10-16,Gustav Forsling,FLA,POINTS,0.5,220.0,-300.0,draftkings,0.5934,0.899,0.9,0.899
2025-10-16,Adam Fox,NYR,GOALS,0.5,525.0,-1000.0,fanduel,0.2953,0.8457,0.35,0.8457
2025-10-16,Arseny Gritsyuk,NJD,POINTS,0.5,203.0,-284.0,pinnacle,0.5934,0.7981,0.9,0.7981
2025-10-16,Matias Maccelli,TOR,GOALS,0.5,500.0,-900.0,fanduel,0.2953,0.7719,0.35,0.7719
2025-10-16,Darnell Nurse,EDM,POINTS,0.5,185.0,-248.0,draftkings,0.5934,0.6913,0.9,0.6913
2025-10-16,Nathan MacKinnon,COL,SOG,3.5,-155.0,113.0,pinnacle,0.2213,0.6587,2.4,0.6587
2025-10-16,Brady Skjei,NSH,POINTS,0.5,176.0,-230.0,fanduel,0.5934,0.6379,0.9,0.6379
2025-10-16,Ivan Provorov,CBJ,POINTS,0.5,176.0,-230.0,fanduel,0.5934,0.6379,0.9,0.6379
2025-10-16,Auston Matthews,TOR,SOG,3.5,-148.0,110.0,pinnacle,0.2213,0.6353,2.4,0.6353
2025-10-16,Evan Bouchard,EDM,GOALS,0.5,440.0,-700.0,fanduel,0.2953,0.5947,0.35,0.5947
2025-10-16,Patrik Laine,MTL,ASSISTS,0.5,340.0,-500.0,draftkings,0.3624,0.5944,0.45,0.5944
2025-10-16,Arseny Gritsyuk,NJD,ASSISTS,0.5,335.0,-525.0,pinnacle,0.3624,0.5763,0.45,0.5763
2025-10-16,Mike Matheson,MTL,POINTS,0.5,165.0,-218.0,draftkings,0.5934,0.5726,0.9,0.5726
2025-10-16,Luke Evangelista,NSH,POINTS,0.5,165.0,-218.0,draftkings,0.5934,0.5726,0.9,0.5726
2025-10-16,Vladislav Namestnikov,WPG,POINTS,0.5,165.0,-240.0,pinnacle,0.5934,0.5726,0.9,0.5726
2025-10-16,Shane Wright,SEA,POINTS,0.5,165.0,-218.0,draftkings,0.5934,0.5726,0.9,0.5726
2025-10-16,Tony DeAngelo,NYI,POINTS,0.5,162.0,-210.0,fanduel,0.5934,0.5548,0.9,0.5548
2025-10-16,Charlie Coyle,CBJ,POINTS,0.5,160.0,-212.0,draftkings,0.5934,0.5429,0.9,0.5429
2025-10-16,Mattias Ekholm,EDM,POINTS,0.5,160.0,-212.0,draftkings,0.5934,0.5429,0.9,0.5429
2025-10-16,Nino Niederreiter,WPG,ASSISTS,0.5,325.0,-475.0,draftkings,0.3624,0.5401,0.45,0.5401
2025-10-16,Michael Bunting,NSH,POINTS,0.5,151.0,-204.0,pinnacle,0.5934,0.4895,0.9,0.4895
2025-10-16,Owen Tippett,PHI,ASSISTS,0.5,310.0,-455.0,draftkings,0.3624,0.4857,0.45,0.4857
2025-10-16,Brendan Gallagher,MTL,ASSISTS,0.5,310.0,-455.0,draftkings,0.3624,0.4857,0.45,0.4857
2025-10-16,Michael Bunting,NSH,ASSISTS,0.5,310.0,-455.0,draftkings,0.3624,0.4857,0.45,0.4857
2025-10-16,Luke Evangelista,NSH,ASSISTS,0.5,310.0,-455.0,draftkings,0.3624,0.4857,0.45,0.4857
2025-10-16,Mason Marchment,SEA,ASSISTS,0.5,310.0,-455.0,draftkings,0.3624,0.4857,0.45,0.4857
2025-10-16,Brendan Gallagher,MTL,POINTS,0.5,150.0,-198.0,draftkings,0.5934,0.4836,0.9,0.4836
2025-10-16,Nino Niederreiter,WPG,POINTS,0.5,150.0,-198.0,draftkings,0.5934,0.4836,0.9,0.4836
2025-10-16,Michael Bunting,NSH,GOALS,0.5,400.0,-650.0,fanduel,0.2953,0.4766,0.35,0.4766
2025-10-16,Connor McDavid,EDM,POINTS,1.5,-120.0,-110.0,draftkings,0.2275,0.4747,0.9,0.4747
2025-10-16,Mason Marchment,SEA,POINTS,0.5,148.0,-194.0,fanduel,0.5934,0.4717,0.9,0.4717
2025-10-16,Patrik Laine,MTL,POINTS,0.5,147.0,-200.0,pinnacle,0.5934,0.4658,0.9,0.4658
2025-10-16,Andrew Mangiapane,EDM,SOG,1.5,110.0,-144.0,fanduel,0.6916,0.4523,2.4,0.4523
2025-10-16,Claude Giroux,OTT,GOALS,0.5,390.0,-650.0,fanduel,0.2953,0.447,0.35,0.447
2025-10-16,Nathan MacKinnon,COL,ASSISTS,0.5,-167.0,125.0,pinnacle,0.3624,0.4347,0.45,0.4347
2025-10-16,Leon Draisaitl,EDM,ASSISTS,0.5,-170.0,124.0,pinnacle,0.3624,0.4283,0.45,0.4283
2025-10-16,Eeli Tolvanen,SEA,SOG,1.5,106.0,-138.0,fanduel,0.6916,0.4246,2.4,0.4246
2025-10-16,Jack Roslovic,EDM,POINTS,0.5,140.0,-182.0,draftkings,0.5934,0.4242,0.9,0.4242
2025-10-16,Brandon Montour,SEA,POINTS,0.5,140.0,-182.0,draftkings,0.5934,0.4242,0.9,0.4242
2025-10-16,David Perron,OTT,GOALS,0.5,380.0,-600.0,fanduel,0.2953,0.4175,0.35,0.4175
2025-10-16,Mackie Samoskevich,FLA,GOALS,0.5,380.0,-600.0,fanduel,0.2953,0.4175,0.35,0.4175
2025-10-16,Shane Wright,SEA,GOALS,0.5,380.0,-600.0,fanduel,0.2953,0.4175,0.35,0.4175
2025-10-16,Ondrej Palat,NJD,GOALS,0.5,380.0,-600.0,fanduel,0.2953,0.4175,0.35,0.4175
2025-10-16,Shane Wright,SEA,ASSISTS,0.5,290.0,-420.0,draftkings,0.3624,0.4133,0.45,0.4133
2025-10-16,Will Cuylle,NYR,ASSISTS,0.5,290.0,-420.0,draftkings,0.3624,0.4133,0.45,0.4133
2025-10-16,Owen Tippett,PHI,POINTS,0.5,138.0,-178.0,fanduel,0.5934,0.4124,0.9,0.4124
2025-10-16,Will Cuylle,NYR,POINTS,0.5,138.0,-178.0,fanduel,0.5934,0.4124,0.9,0.4124
2025-10-16,Neal Pionk,WPG,POINTS,0.5,136.0,-174.0,fanduel,0.5934,0.4005,0.9,0.4005
2025-10-16,Arseny Gritsyuk,NJD,SOG,1.5,102.0,-132.0,fanduel,0.6916,0.3969,2.4,0.3969
2025-10-16,Jonathan Toews,WPG,POINTS,0.5,135.0,-175.0,draftkings,0.5934,0.3946,0.9,0.3946
2025-10-16,Seth Jones,FLA,POINTS,0.5,135.0,-185.0,pinnacle,0.5934,0.3946,0.9,0.3946
2025-10-16,Noah Dobson,MTL,POINTS,0.5,134.0,-185.0,pinnacle,0.5934,0.3886,0.9,0.3886
2025-10-16,Eeli Tolvanen,SEA,GOALS,0.5,370.0,-600.0,fanduel,0.2953,0.388,0.35,0.388
2025-10-16,Mason Marchment,SEA,GOALS,0.5,370.0,-600.0,fanduel,0.2953,0.388,0.35,0.388
2025-10-16,Evan Rodrigues,FLA,POINTS,0.5,131.0,-180.0,pinnacle,0.5934,0.3708,0.9,0.3708
2025-10-16,Mackie Samoskevich,FLA,POINTS,0.5,129.0,-172.0,pinnacle,0.5934,0.359,0.9,0.359
2025-10-16,Cale Makar,COL,ASSISTS,0.5,-149.0,112.0,pinnacle,0.3624,0.3518,0.45,0.3518
2025-10-16,Alex Iafallo,WPG,SOG,1.5,-105.0,-125.0,draftkings,0.6916,0.3502,2.4,0.3502
2025-10-16,Brendan Gallagher,MTL,SOG,1.5,-106.0,-124.0,pinnacle,0.6916,0.344,2.4,0.344
2025-10-16,Devon Toews,COL,POINTS,0.5,126.0,-162.0,draftkings,0.5934,0.3412,0.9,0.3412
2025-10-16,Fabian Zetterlund,OTT,POINTS,0.5,126.0,-162.0,fanduel,0.5934,0.3412,0.9,0.3412
2025-10-16,Matias Maccelli,TOR,POINTS,0.5,126.0,-162.0,draftkings,0.5934,0.3412,0.9,0.3412
2025-10-16,Vladislav Namestnikov,WPG,ASSISTS,0.5,270.0,-385.0,draftkings,0.3624,0.3408,0.45,0.3408
2025-10-16,Fabian Zetterlund,OTT,ASSISTS,0.5,270.0,-425.0,pinnacle,0.3624,0.3408,0.45,0.3408
2025-10-16,Charlie Coyle,CBJ,ASSISTS,0.5,270.0,-385.0,draftkings,0.3624,0.3408,0.45,0.3408
2025-10-16,Gustav Forsling,FLA,ASSISTS,0.5,270.0,-385.0,draftkings,0.3624,0.3408,0.45,0.3408
2025-10-16,Kent Johnson,CBJ,SOG,1.5,-108.0,-120.0,fanduel,0.6916,0.3319,2.4,0.3319
2025-10-16,Tyson Foerster,PHI,POINTS,0.5,124.0,-160.0,fanduel,0.5934,0.3293,0.9,0.3293
2025-10-16,Morgan Rielly,TOR,POINTS,0.5,124.0,-160.0,fanduel,0.5934,0.3293,0.9,0.3293
2025-10-16,Thomas Chabot,OTT,POINTS,0.5,124.0,-158.0,fanduel,0.5934,0.3293,0.9,0.3293
2025-10-16,Anton Lundell,FLA,GOALS,0.5,350.0,-550.0,fanduel,0.2953,0.3289,0.35,0.3289
2025-10-16,Andrew Mangiapane,EDM,GOALS,0.5,350.0,-550.0,fanduel,0.2953,0.3289,0.35,0.3289
2025-10-16,Anders Lee,NYI,ASSISTS,0.5,266.0,-391.0,pinnacle,0.3624,0.3263,0.45,0.3263
2025-10-16,Tony DeAngelo,NYI,SOG,1.5,-109.0,-122.0,pinnacle,0.6916,0.326,2.4,0.326
2025-10-16,Ridly Greig,OTT,SOG,1.5,-110.0,-120.0,draftkings,0.6916,0.3202,2.4,0.3202
2025-10-16,Jack Hughes,NJD,SOG,3.5,110.0,-144.0,fanduel,0.2213,0.3195,2.4,0.3195
2025-10-16,Mackie Samoskevich,FLA,ASSISTS,0.5,264.0,-389.0,pinnacle,0.3624,0.319,0.45,0.319
2025-10-16,Ivan Demidov,MTL,POINTS,0.5,122.0,-165.0,pinnacle,0.5934,0.3174,0.9,0.3174
2025-10-16,Chandler Stephenson,SEA,POINTS,0.5,122.0,-156.0,fanduel,0.5934,0.3174,0.9,0.3174
2025-10-16,Claude Giroux,OTT,POINTS,0.5,122.0,-154.0,fanduel,0.5934,0.3174,0.9,0.3174
2025-10-16,Zach Werenski,CBJ,SOG,3.5,112.0,-146.0,fanduel,0.2213,0.3121,2.4,0.3121
2025-10-16,Boone Jenner,CBJ,POINTS,0.5,121.0,-165.0,pinnacle,0.5934,0.3115,0.9,0.3115
2025-10-16,Leon Draisaitl,EDM,SOG,2.5,-168.0,130.0,draftkings,0.4303,0.3103,2.4,0.3103
2025-10-16,Cale Makar,COL,SOG,2.5,-168.0,130.0,draftkings,0.4303,0.3103,2.4,0.3103
2025-10-16,Connor McDavid,EDM,SOG,2.5,-168.0,130.0,draftkings,0.4303,0.3103,2.4,0.3103
2025-10-16,Bo Horvat,NYI,SOG,2.5,-170.0,130.0,fanduel,0.4303,0.3103,2.4,0.3103
2025-10-16,Connor McDavid,EDM,ASSISTS,1.5,170.0,-240.0,pinnacle,0.0754,0.3098,0.45,0.3098
2025-10-16,Jonathan Toews,WPG,ASSISTS,0.5,261.0,-383.0,pinnacle,0.3624,0.3082,0.45,0.3082
2025-10-16,Alex Iafallo,WPG,POINTS,0.5,120.0,-154.0,draftkings,0.5934,0.3055,0.9,0.3055
2025-10-16,Trevor Zegras,PHI,POINTS,0.5,120.0,-154.0,fanduel,0.5934,0.3055,0.9,0.3055
2025-10-16,Ridly Greig,OTT,POINTS,0.5,120.0,-154.0,draftkings,0.5934,0.3055,0.9,0.3055
2025-10-16,Anders Lee,NYI,POINTS,0.5,120.0,-154.0,fanduel,0.5934,0.3055,0.9,0.3055
2025-10-16,Aaron Ekblad,FLA,POINTS,0.5,120.0,-154.0,draftkings,0.5934,0.3055,0.9,0.3055
2025-10-16,Filip Forsberg,NSH,SOG,3.5,115.0,-148.0,draftkings,0.2213,0.3049,2.4,0.3049
2025-10-16,Ivan Demidov,MTL,ASSISTS,0.5,260.0,-390.0,pinnacle,0.3624,0.3045,0.45,0.3045
2025-10-16,Jack Roslovic,EDM,ASSISTS,0.5,259.0,-379.0,pinnacle,0.3624,0.3009,0.45,0.3009
2025-10-16,Anton Lundell,FLA,POINTS,0.5,119.0,-160.0,pinnacle,0.5934,0.2996,0.9,0.2996
2025-10-16,Nino Niederreiter,WPG,GOALS,0.5,340.0,-550.0,fanduel,0.2953,0.2994,0.35,0.2994
2025-10-16,Jonathan Drouin,NYI,GOALS,0.5,340.0,-550.0,fanduel,0.2953,0.2994,0.35,0.2994
2025-10-16,Fabian Zetterlund,OTT,GOALS,0.5,340.0,-500.0,fanduel,0.2953,0.2994,0.35,0.2994
2025-10-16,Luke Hughes,NJD,SOG,1.5,-114.0,-114.0,fanduel,0.6916,0.2982,2.4,0.2982
2025-10-16,Nino Niederreiter,WPG,SOG,1.5,-114.0,-114.0,fanduel,0.6916,0.2982,2.4,0.2982
2025-10-16,Adam Fantilli,CBJ,ASSISTS,0.5,258.0,-377.0,pinnacle,0.3624,0.2973,0.45,0.2973
2025-10-16,Leon Draisaitl,EDM,POINTS,1.5,115.0,-148.0,draftkings,0.2275,0.2944,0.9,0.2944
2025-10-16,Nathan MacKinnon,COL,POINTS,1.5,116.0,-148.0,fanduel,0.2275,0.2944,0.9,0.2944
2025-10-17,Filip Hronek,VAN,POINTS,0.5,158.0,-205.0,fanduel,0.5934,0.5311,0.9,0.5311
2025-10-17,Filip Chytil,VAN,ASSISTS,0.5,300.0,-440.0,draftkings,0.3624,0.4495,0.45,0.4495
2025-10-17,Filip Chytil,VAN,GOALS,0.5,350.0,-550.0,fanduel,0.2953,0.3289,0.35,0.3289
2025-10-17,Evander Kane,VAN,POINTS,0.5,120.0,-154.0,draftkings,0.5934,0.3055,0.9,0.3055
2025-10-17,Conor Garland,VAN,POINTS,0.5,119.0,-159.0,pinnacle,0.5934,0.2996,0.9,0.2996
2025-10-17,Conor Garland,VAN,GOALS,0.5,330.0,-490.0,fanduel,0.2953,0.2698,0.35,0.2698
2025-10-17,Evander Kane,VAN,ASSISTS,0.5,250.0,-350.0,draftkings,0.3624,0.2683,0.45,0.2683
2025-10-17,Evander Kane,VAN,GOALS,0.5,320.0,-490.0,fanduel,0.2953,0.2403,0.35,0.2403
2025-10-17,Elias Pettersson,VAN,SOG,1.5,-127.0,-105.0,pinnacle,0.6916,0.2361,2.4,0.2361
2025-10-17,Filip Chytil,VAN,POINTS,0.5,106.0,-142.0,pinnacle,0.5934,0.2225,0.9,0.2225
2025-10-17,Quinn Hughes,VAN,ASSISTS,0.5,-120.0,-110.0,draftkings,0.3624,0.2173,0.45,0.2173
2025-10-17,Conor Garland,VAN,ASSISTS,0.5,230.0,-320.0,draftkings,0.3624,0.1958,0.45,0.1958
2025-10-17,Jake DeBrusk,VAN,ASSISTS,0.5,230.0,-320.0,draftkings,0.3624,0.1958,0.45,0.1958
2025-10-17,Elias Pettersson,VAN,GOALS,0.5,300.0,-450.0,fanduel,0.2953,0.1812,0.35,0.1812
2025-10-17,Jake DeBrusk,VAN,POINTS,0.5,-102.0,-125.0,fanduel,0.5934,0.1752,0.9,0.1752
2025-10-17,Filip Hronek,VAN,ASSISTS,0.5,218.0,-309.0,pinnacle,0.3624,0.1523,0.45,0.1523
2025-10-17,Brock Boeser,VAN,ASSISTS,0.5,210.0,-285.0,draftkings,0.3624,0.1234,0.45,0.1234
2025-10-17,Elias Pettersson,VAN,POINTS,0.5,-114.0,-117.0,pinnacle,0.5934,0.114,0.9,0.114
2025-10-17,Brock Boeser,VAN,POINTS,0.5,-115.0,-111.0,fanduel,0.5934,0.1095,0.9,0.1095
2025-10-17,Brock Boeser,VAN,SOG,1.5,-188.0,142.0,fanduel,0.6916,0.0594,2.4,0.0594
